# Foraging data for Euterpe edulis (Arecaceae). Brazil, May 2012. Updated March 2013. 
# From table SM2 in Galetti et al (2013) Science.
# 1. Handled fruits (frhandleld_vis) are all fruits touched by the birds, and include fruits that were swallowed, 
#    dropped, carried in the beak, predated and that had the pulp consumed.
# 2. Dispersed fruits (frdisp_vis) include only the fruits that were swallowed by the birds.
# 3. Dispersal probability (dispprob) = Total dispersed fruits/Total handled fruits.
# 4. Quantitative component (qc) = (Number visits/10 hours) x (Number of fruits handled/visit) x (Dispersal probability).
#
size	family	species	common_name	behavior	gape	vis_10h	frhandleld_vis	frdisp_vis	dispprob	qc
Small	Thraupidae	Orthogonys chloricterus	Olive-green Tanager	pulp consumer	9.8	0.05	2.67	0.00	0.00	0.00
Small	Thraupidae	Tachyphonus coronatus	Ruby-crowned Tanager	pulp consumer	9.1	0.05	1.00	0.40	0.40	0.02
Small	Thraupidae	Tangara cayana	Burnished-buff Tanager	pulp consumer	8.8	0.07	6.50	0.00	0.00	0.00
Small	Thraupidae	Tangara cyanocephala	Red-necked Tanager	pulp consumer	6.6	0.06	1.00	0.00	0.00	0.00
Small	Thraupidae	Tangara cyanoptera	Azure-shouldered Tanager	pulp consumer	10.9	0.21	7.17	0.00	0.00	0.00
Small	Thraupidae	Tangara ornata	Golden-chevroned Tanager	pulp consumer	NA	0.43	1.00	0.00	0.00	0.00
Small	Thraupidae	Tangara seledon	Green-headed Tanager	pulp consumer	7.0	0.16	1.08	0.08	0.08	0.01
Small	Vireonidae	Cyclarhis gujanensis	Rufous-browed Peppershrike	pulp consumer	NA	0.07	1.50	0.00	0.00	0.00
Small	Psitacidae	Brotogeris tirica	Plain Parakeet	seed predator	9.9	0.07	3.50	0.00	0.00	0.00
Large	Psitacidae	Pyrrhura frontalis	Maroon-bellied Parakeet	seed predator	11.2	0.30	18.88	0.00	0.00	0.00
Large	Psitacidae	Triclaria malachitacea	Blue-bellied Parrot	seed predator	13.6	0.07	32.00	0.00	0.00	0.00
